Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,0.0,0.0,0.0,10.49,2.07,0.0
20230101:0109,0.0,0.0,0.0,0.0,0.0,10.28,2.0,0.0
20230101:0209,0.0,0.0,0.0,0.0,0.0,10.02,1.93,0.0
20230101:0309,0.0,0.0,0.0,0.0,0.0,9.88,2.0,0.0
20230101:0409,0.0,0.0,0.0,0.0,0.0,9.82,2.07,0.0
20230101:0509,7900.0,0.0,7.53,0.09,1.85,9.8,2.21,0.0
20230101:0609,2619900.0,218.46,101.75,1.95,11.92,10.79,2.14,0.0
20230101:0709,4435600.0,379.62,155.52,3.75,20.58,14.34,2.62,0.0
20230101:0809,6019000.0,559.02,168.2,5.28,27.2,15.72,4.21,0.0
20230101:0909,6879100.0,672.42,167.88,6.2,31.08,16.39,4.28,0.0
20230101:1009,7061800.0,702.33,163.38,6.39,31.66,16.68,4.28,0.0
20230101:1109,5291900.0,406.23,233.41,5.04,28.84,16.81,4.34,0.0
20230101:1209,1624500.0,33.94,172.34,2.29,23.06,16.67,4.34,0.0
20230101:1309,2385800.0,162.24,132.54,2.2,15.01,16.25,4.21,0.0
20230101:1409,1111400.0,115.82,40.9,0.73,5.35,15.57,3.66,0.0
20230101:1509,0.0,0.0,0.0,0.0,0.0,14.6,3.17,0.0
20230101:1609,0.0,0.0,0.0,0.0,0.0,13.96,3.03,0.0
20230101:1709,0.0,0.0,0.0,0.0,0.0,13.61,2.97,0.0
20230101:1809,0.0,0.0,0.0,0.0,0.0,13.44,2.97,0.0
20230101:1909,0.0,0.0,0.0,0.0,0.0,13.98,3.17,0.0
20230101:2009,0.0,0.0,0.0,0.0,0.0,13.87,3.17,0.0
20230101:2109,0.0,0.0,0.0,0.0,0.0,13.65,2.9,0.0
20230101:2209,0.0,0.0,0.0,0.0,0.0,13.34,2.76,0.0
20230101:2309,0.0,0.0,0.0,0.0,0.0,13.03,2.62,0.0
20230102:0009,0.0,0.0,0.0,0.0,0.0,12.77,2.55,0.0
20230102:0109,0.0,0.0,0.0,0.0,0.0,12.54,2.69,0.0
20230102:0209,0.0,0.0,0.0,0.0,0.0,12.52,2.76,0.0
20230102:0309,0.0,0.0,0.0,0.0,0.0,12.45,2.76,0.0
20230102:0409,0.0,0.0,0.0,0.0,0.0,12.36,2.62,0.0
