PVSYST 8.1.5
,File,File date,Description
Project,PV_Hydrogen_Cyprus_10MWp_Project.PRJ,10/09/26 16h26,PV_Hydrogen_Cyprus_10MWp,
Geographical Site,Aglantziá_PVGIS_API_TMY.SIT,10/09/26 16h26,Aglantziá;Cyprus;Europe;,
Weather data,Aglantziá_PVGIS_API_TMY.MET,10/09/26 16h26,Aglantziá;PVGIS api TMY;TMY,
Simulation variant,PV_Hydrogen_Cyprus_10MWp_Project.VC0,10/09/26 17h38,New simulation variant,
Simulation date,,10/09/26 17h50

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobInc,GlobEff,EArray,E_Grid,PR,GlobHor,T_Amb,TArray
    ,W/m²,W/m²,kW,kW,ratio,W/m²,°C,°C

01/01/90 00:00,0,0,0,-0.096,0,0,0,0
01/01/90 01:00,0,0,0,-0.096,0,0,0,0
01/01/90 02:00,0,0,0,-0.096,0,0,8.96,7.9508
01/01/90 03:00,0,0,0,-0.096,0,0,9.12,9.1023
01/01/90 04:00,0,0,0,-0.096,0,0,9.28,9.2623
01/01/90 05:00,0,0,0,-0.096,0,0,9.45,9.4313
01/01/90 06:00,0,0,0,-0.096,0,0,9.61,9.5925
01/01/90 07:00,7.0688,6.9934,43.123,-0.096,0,9.0013,9.77,9.9201
01/01/90 08:00,93.831,90.275,864.74,841.74,0.8971,82.001,9.9399,11.922
01/01/90 09:00,365.52,358.25,3551,3516.8,0.9622,252,10.1,18.11
01/01/90 10:00,591.26,583.84,5640.8,5595.7,0.9464,392,14.16,27.551
01/01/90 11:00,557.82,551.13,5302.8,5260.4,0.9431,403,15.13,28.639
01/01/90 12:00,501.35,494.41,4765.1,4725.8,0.9427,383,15.64,27.853
01/01/90 13:00,516.93,509.76,4904.9,4865.1,0.9412,371,15.98,28.426
01/01/90 14:00,262.13,255.9,2474.7,2445,0.9328,219,15.9,22.753
01/01/90 15:00,284.03,275.59,2678.4,2647.8,0.9323,181,15.2,21.974
01/01/90 16:00,76.044,69.704,645.34,623.26,0.8196,41.001,14.36,16.678
01/01/90 17:00,0,0,0,-0.096,0,0,13.27,13.562
01/01/90 18:00,0,0,0,-0.096,0,0,12.57,12.644
01/01/90 19:00,0,0,0,-0.096,0,0,12.04,12.097
01/01/90 20:00,0,0,0,-0.096,0,0,11.54,11.594
01/01/90 21:00,0,0,0,-0.096,0,0,11.56,11.558
01/01/90 22:00,0,0,0,-0.096,0,0,11.35,11.372
01/01/90 23:00,0,0,0,-0.096,0,0,11.3,11.305
02/01/90 00:00,0,0,0,-0.096,0,0,11.49,11.47
02/01/90 01:00,0,0,0,-0.096,0,0,11.68,11.66
02/01/90 02:00,0,0,0,-0.096,0,0,11.89,11.868
02/01/90 03:00,0,0,0,-0.096,0,0,11.85,11.854
02/01/90 04:00,0,0,0,-0.096,0,0,11.45,11.492
02/01/90 05:00,0,0,0,-0.096,0,0,10.81,10.879
02/01/90 06:00,0,0,0,-0.096,0,0,10.39,10.435
02/01/90 07:00,0,0,0,-0.096,0,7.9987,10.15,10.176
02/01/90 08:00,341.03,326.22,3231.6,3198.7,0.938,172,10.63,17.682
02/01/90 09:00,571.64,562.8,5454.9,5411.2,0.9467,331,13.67,26.567
02/01/90 10:00,731.25,724.21,6879.6,6824.6,0.9333,449,15.01,32.337
02/01/90 11:00,820.91,816.23,7647.4,7586.2,0.9242,517,15.97,35.825
02/01/90 12:00,841.19,837.13,7803.5,7741.1,0.9203,530,16.52,37.114
02/01/90 13:00,777.04,771.07,7229.6,7171.8,0.923,481,16.67,35.833
02/01/90 14:00,623.66,615.4,5855.8,5809,0.9315,372,16.47,31.972
02/01/90 15:00,415.53,403.81,3901,3865.3,0.9303,225,15.87,26.3
02/01/90 16:00,139.42,126.17,1202.1,1177.6,0.8447,56.998,14.92,18.773
02/01/90 17:00,0,0,0,-0.096,0,0,13.67,14.117
02/01/90 18:00,0,0,0,-0.096,0,0,12.71,12.811
02/01/90 19:00,0,0,0,-0.096,0,0,11.94,12.021
02/01/90 20:00,0,0,0,-0.096,0,0,11.15,11.234
02/01/90 21:00,0,0,0,-0.096,0,0,10.72,10.766
02/01/90 22:00,0,0,0,-0.096,0,0,10.22,10.273
02/01/90 23:00,0,0,0,-0.096,0,0,9.86,9.8981
03/01/90 00:00,0,0,0,-0.096,0,0,9.59,9.6186
03/01/90 01:00,0,0,0,-0.096,0,0,9.3299,9.3574
03/01/90 02:00,0,0,0,-0.096,0,0,9.07,9.0975
