PEM Size (MW),Curtailment Recovery (%),Residual Curtailment (MWh/year),H2 (kg/year),Utilization (%),Discounted LCOH (EUR/kg H2),NPV (EUR),PV Opportunity Cost (EUR/year),Pareto Efficient,Ideal-Point Distance
0.1,5.964541851356654,2503.9932,3716.6625823681743,22.611575342465752,5.67388119078737,42187.41210260091,6404.947424999999,True,0.5939315658434356
0.11,6.555990437349056,2488.244,4085.472077449555,22.594499792444996,5.677084112502683,46261.72191413134,7042.31868,True,0.5898761542816476
0.12,7.1465489888325395,2472.5185,4454.171000796203,22.579261796042616,5.679719176205896,50336.21042923271,7678.895055,True,0.585829713602406
0.13,7.736161174509059,2456.8182,4822.421926838725,22.56402353354408,5.68289616803559,54366.64503543891,8317.482247,True,0.5817986774477536
0.14,8.325198780945637,2441.1332,5189.887524742859,22.547790280495757,5.68511932818904,58410.59124979304,8948.993587,True,0.5777724114693256
0.15,8.91308347348247,2425.4789,5557.71531349911,22.534353120243534,5.688188475688475,62404.37725819601,9588.900457,True,0.5737639915548262
0.16,9.499803985859947,2409.8556,5925.069044398886,22.52046232876712,5.6913574812501375,66368.46255179061,10228.958843,True,0.5697703938982451
0.17,10.085837256401408,2394.2506,6290.513417829846,22.502068224550094,5.6942455246333115,70306.41138064608,10858.705237999999,True,0.5657876721955847
0.18,10.671307213962523,2378.6606,6657.262256854215,22.489358193810247,5.6972421398050646,74234.65303443075,11498.716977,True,0.5618137266720232
0.19,11.255902158694209,2363.0939,7023.650950779144,22.476652247055995,5.7002533597434075,78139.19613064948,12138.976391999999,True,0.557851995160059
0.2,11.839036245096876,2347.5661,7386.823972478998,22.45614726027397,5.702884751437573,82013.17584859353,12760.296806999999,True,0.5539057079999202
0.21,12.421877408749774,2332.0461,7752.305868214138,22.44336812350511,5.705891183929013,85871.49230469734,13399.609272,True,0.5499681096722682
0.22,13.00439185087408,2316.5348,8117.6096256327355,22.431299294312993,5.708752177068661,89719.13536293368,14038.921737,True,0.5460374339675376
0.23,13.586613370248605,2301.0313,8482.002466899748,22.41818046456224,5.711124624323591,93574.31052222691,14670.977817000003,True,0.5421100818622925
0.24,14.16778712747972,2285.5557,8845.887521927776,22.4046851217656,5.713977963923911,97372.68332320824,15306.115587,True,0.5382013076979654
0.25,14.748420104249696,2270.0945,9208.635347961235,22.389762557077624,5.71645424396781,101170.51150200487,15933.356382000002,True,0.5342985062048755
0.26,15.328632473994379,2254.6445,9572.741148353101,22.378657358623112,5.719094413180071,104954.42419827502,16571.728736999998,True,0.5304046272686975
0.27,15.908604496867442,2239.2009,9934.950271872556,22.364679519702346,5.7213405295698445,108734.63780364202,17197.256517,True,0.5265149837011606
0.28,16.488016962180033,2223.7722,10298.602435221768,22.354272667971298,5.72382768437417,112495.4421817204,17835.153147000005,True,0.5226361409006307
0.29,17.066389176188935,2208.3712,10661.821433028303,22.343493150684935,5.726377823146922,116230.29286118242,18473.049777,True,0.5187709495041303
0.3,17.643777470192198,2192.9964,11021.714525131794,22.327340182648403,5.728266158576725,119975.53666576848,19086.450843,True,0.5149112715134092
0.31,18.219058973649,2177.6777,11382.670549019014,22.313381941375752,5.73077848008067,123659.9048886018,19714.404498,True,0.5110783423179891
0.32,18.79379594122482,2162.3735,11743.318249629861,22.299696775114153,5.733246576762789,127329.85137474554,20341.884775,True,0.5072543117468828
