PEM Size (MW),Curtailment Recovery (%),Discounted LCOH (EUR/kg H2),NPV (EUR),H2 (kg/year),Utilization (%),Avoided Curtailment (MWh),Residual Curtailment (MWh),Lost Export Energy (MWh),PV Opportunity Cost (EUR/year),Pareto Efficient,Balanced Distance to Ideal,Balanced Compromise
0.1,5.964541851356653,5.60634214700776,44870.122542464575,3761.4368452087997,22.611575342465752,158.82490000000007,2503.9932,39.2525,6404.947424999999,True,0.5918791835873651,False
0.11,6.555990437349056,5.609693541519117,49202.400786260085,4134.551816654379,22.594499792444996,174.57409999999982,2488.244,43.1465,7042.31868,True,0.5878676885299486,False
0.12,7.1465489888325395,5.6124934612382065,53532.8363944235,4507.522480345332,22.579261796042616,190.29959999999983,2472.5185,47.0536,7678.895055,True,0.5838651586084883,False
0.13,7.736161174509058,5.615828112379512,57817.38687599679,4880.014583827877,22.56402353354408,205.9998999999998,2456.8182,50.9592,8317.482247,True,0.5798770323599525,False
0.14,8.325198780945636,5.61816103403807,62116.66023011829,5251.74157509613,22.547790280495757,221.68489999999974,2441.1332,54.8412,8948.993587,True,0.5758936357425875,False
0.15,8.91308347348247,5.621412994989673,66359.98466642789,5623.7341439918655,22.534353120243534,237.3391999999999,2425.4789,58.7622,9588.900457,True,0.5719273784543725,False
0.16,9.499803985859947,5.624780899669136,70570.44904935187,5995.199925875655,22.52046232876712,252.9625000000001,2409.8556,62.6843,10228.958843,True,0.5679754150580826,False
0.17,10.085837256401408,5.627780700066711,74757.704000979,6364.805202288497,22.502068224550094,268.5675000000001,2394.2506,66.5333,10858.705237999999,True,0.5640331719335593,False
0.18,10.671307213962523,5.6309374431189365,78931.48054325752,6735.6520026398175,22.489358193810247,284.1574999999998,2378.6606,70.4547,11498.716977,True,0.5600996578650419,False
0.19,11.255902158694209,5.63411207836684,83079.51974152186,7106.104630678416,22.476652247055995,299.7242000000001,2363.0939,74.3772,12138.976391999999,True,0.5561778196297592,False
0.2,11.839036245096874,5.636837014761632,87199.09291242243,7473.376591142295,22.45614726027397,315.25199999999995,2347.5661,78.1797,12760.296806999999,True,0.5522703400684259,False
0.21,12.421877408749774,5.639998653651006,91298.16263413649,7842.876643229306,22.44336812350511,330.77199999999993,2332.0461,82.0962,13399.609272,True,0.5483714248122001,False
0.22,13.00439185087408,5.642991411394833,95387.15034065166,8212.20842713807,22.431299294312993,346.28330000000005,2316.5348,86.0127,14038.921737,True,0.5444788680537079,False
0.23,13.586613370248605,5.64544833491223,99486.57590736302,8580.677791826382,22.41818046456224,361.78679999999986,2301.0313,89.8947,14670.977817000003,True,0.5405892951469263,False
0.24,14.16778712747972,5.648399981574928,103526.14323185588,8948.588367771968,22.4046851217656,377.26240000000007,2285.5557,93.7737,15306.115587,True,0.5367170317818427,False
0.25,14.748420104249698,5.650944593251499,107566.7531870766,9315.38820587091,22.389762557077624,392.7235999999998,2270.0945,97.6122,15933.356382000002,True,0.5328503841713471,False
0.26,15.328632473994377,5.653683009423533,111590.38305985296,9683.494870354858,22.378657358623112,408.1736000000001,2254.6445,101.5227,16571.728736999998,True,0.5289923847153166,False
0.27,15.90860449686744,5.655966981607151,115614.91986573608,10049.781732207686,22.364679519702346,423.61720000000014,2239.2009,105.3522,17197.256517,True,0.5251378473169166,False
0.28,16.488016962180033,5.658538347238626,119615.14135622105,10417.429751598665,22.354272667971298,439.0459000000001,2223.7722,109.2597,17835.153147000005,True,0.5212939154555649,False
0.29,17.066389176188938,5.661191886881369,123585.97225261698,10784.587243884953,22.343493150684935,454.4468999999999,2208.3712,113.1672,18473.049777,True,0.5174632068255343,False
0.3,17.643777470192198,5.663131368749152,127570.94091187853,11148.48132822867,22.327340182648403,469.82169999999996,2192.9964,116.9408,19086.450843,True,0.5136378525009068,False
0.31,18.219058973649,5.66579675482155,131481.9401143444,11513.219808432877,22.313381941375752,485.1403999999998,2177.6777,120.8018,19714.404498,True,0.5098390123485849,False
0.32,18.79379594122482,5.668407488914364,135378.2970870184,11877.646285345161,22.299696775114153,500.4445999999998,2162.3735,124.6605,20341.884775,True,0.5060485141757364,False
0.33,19.367917019942137,5.6710590867091515,139226.6580747899,12239.661630675315,22.282772934827726,515.7323999999999,2147.0857,128.418,20958.09448,True,0.5022700661059243,False
0.34,19.941317058044625,5.674086860041815,143024.07455785223,12602.211292676588,22.267610126242275,531.0009999999997,2131.8171,132.2175,21583.996225,True,0.4985064609929238,False
0.35,20.512689169417918,5.677269937610819,146798.16078992965,12965.882314305603,22.25478147423353,546.2156,2116.6025,136.116,22220.473149999998,True,0.49476229331492816,False
